tblname,label,description,rdommin,rdommax,attrunit,attrdefs,udom
FP_Database.csv,State,State: US Postal code for state ,na,na,two-character state postal code,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,CT = Connecticut; DC = District of Columbia; DE - Delaware; FL = Florida; GA = Georgia; MA = Massachusetts; MD = Maryland; ME = Maine; NC = North Carolina; NH = New Hampshire; NJ = New Jersey; NY = New York; PA = Pennsylvania; RI = Rhode Island; SC = South Carolina; VA = Virginia
FP_Database.csv,Wtrbody_Nm,Waterbody_Name: Name of river or impoundment where barrier is located,na,na,name,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Watershed,Watershed: Parent watershed of river or impoundment (typically name of mainstem river that connects to the ocean),na,na,name,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Stream_Ord,Stream_Order: Strahler stream order at location of barrier,1,6,integer,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Town,Town: Town location of passage structure,na,na,name,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,County,County: County location of passage structure,na,na,name,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Mn_Ann_Dis,"Mean_Annual_Discharge: Mean annual river discharge at the barrier site, in cubic feet per second",90,7038,cubic feet per second,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Bar_Lat,"Barrier_Latitude: Latitude of barrier (dam), expressed in decimal, to 6 decimal places if possible: NN.NNNNNN; preferably corresponds to NID ID latitude",30.12402,45.57017,decimal degrees,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Bar_Long,"Barrier_Longitude: Longitude of barrier (dam), expressed in negative decimal, to 6 decimal places if possible: -NN.NNNNNN; preferably corresponds to NID ID latitude",-86.910069,-68.40915,decimal degrees,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Bar_Nm,Barrier_Name: Name of barrier (dam name),na,na,name,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
FP_Database.csv,Oth_Bar_Nm,"Other_Barrier_Name: Name of barrier, if it has an alternate name",na,na,name,Created from data supplied by Atlantic States Marine Fisheries Commission State representative,na
